pruning state: 0
remaining weight at start of iteration =  99.99997311642952
pre_conv.0.weight_mask 	|	active =  1728 	|	total =  1728 	|	layerwise sparsity =  1.0
layer1.0.conv1.weight_mask 	|	active =  29491 	|	total =  36864 	|	layerwise sparsity =  0.7999945746527778
layer1.0.conv2.weight_mask 	|	active =  29491 	|	total =  36864 	|	layerwise sparsity =  0.7999945746527778
layer1.1.conv1.weight_mask 	|	active =  29491 	|	total =  36864 	|	layerwise sparsity =  0.7999945746527778
layer1.1.conv2.weight_mask 	|	active =  29491 	|	total =  36864 	|	layerwise sparsity =  0.7999945746527778
layer2.0.conv1.weight_mask 	|	active =  58982 	|	total =  73728 	|	layerwise sparsity =  0.7999945746527778
layer2.0.conv2.weight_mask 	|	active =  117965 	|	total =  147456 	|	layerwise sparsity =  0.8000013563368056
layer2.0.shortcut.0.weight_mask 	|	active =  6554 	|	total =  8192 	|	layerwise sparsity =  0.800048828125
layer2.1.conv1.weight_mask 	|	active =  117965 	|	total =  147456 	|	layerwise sparsity =  0.8000013563368056
layer2.1.conv2.weight_mask 	|	active =  117965 	|	total =  147456 	|	layerwise sparsity =  0.8000013563368056
layer3.0.conv1.weight_mask 	|	active =  235930 	|	total =  294912 	|	layerwise sparsity =  0.8000013563368056
layer3.0.conv2.weight_mask 	|	active =  471859 	|	total =  589824 	|	layerwise sparsity =  0.7999996609157987
layer3.0.shortcut.0.weight_mask 	|	active =  26214 	|	total =  32768 	|	layerwise sparsity =  0.79998779296875
layer3.1.conv1.weight_mask 	|	active =  471859 	|	total =  589824 	|	layerwise sparsity =  0.7999996609157987
layer3.1.conv2.weight_mask 	|	active =  471859 	|	total =  589824 	|	layerwise sparsity =  0.7999996609157987
layer4.0.conv1.weight_mask 	|	active =  943718 	|	total =  1179648 	|	layerwise sparsity =  0.7999996609157987
layer4.0.conv2.weight_mask 	|	active =  1887437 	|	total =  2359296 	|	layerwise sparsity =  0.8000000847710503
layer4.0.shortcut.0.weight_mask 	|	active =  104858 	|	total =  131072 	|	layerwise sparsity =  0.8000030517578125
layer4.1.conv1.weight_mask 	|	active =  1887437 	|	total =  2359296 	|	layerwise sparsity =  0.8000000847710503
layer4.1.conv2.weight_mask 	|	active =  1887437 	|	total =  2359296 	|	layerwise sparsity =  0.8000000847710503
pruning state: 1
remaining weight at start of iteration =  80.00309519508153
pre_conv.0.weight_mask 	|	active =  1728 	|	total =  1728 	|	layerwise sparsity =  1.0
layer1.0.conv1.weight_mask 	|	active =  23593 	|	total =  36864 	|	layerwise sparsity =  0.6400010850694444
layer1.0.conv2.weight_mask 	|	active =  23593 	|	total =  36864 	|	layerwise sparsity =  0.6400010850694444
layer1.1.conv1.weight_mask 	|	active =  23593 	|	total =  36864 	|	layerwise sparsity =  0.6400010850694444
layer1.1.conv2.weight_mask 	|	active =  23593 	|	total =  36864 	|	layerwise sparsity =  0.6400010850694444
layer2.0.conv1.weight_mask 	|	active =  47186 	|	total =  73728 	|	layerwise sparsity =  0.6400010850694444
layer2.0.conv2.weight_mask 	|	active =  94372 	|	total =  147456 	|	layerwise sparsity =  0.6400010850694444
layer2.0.shortcut.0.weight_mask 	|	active =  5243 	|	total =  8192 	|	layerwise sparsity =  0.6400146484375
layer2.1.conv1.weight_mask 	|	active =  94372 	|	total =  147456 	|	layerwise sparsity =  0.6400010850694444
layer2.1.conv2.weight_mask 	|	active =  94372 	|	total =  147456 	|	layerwise sparsity =  0.6400010850694444
layer3.0.conv1.weight_mask 	|	active =  188744 	|	total =  294912 	|	layerwise sparsity =  0.6400010850694444
layer3.0.conv2.weight_mask 	|	active =  377487 	|	total =  589824 	|	layerwise sparsity =  0.6399993896484375
layer3.0.shortcut.0.weight_mask 	|	active =  20971 	|	total =  32768 	|	layerwise sparsity =  0.639984130859375
layer3.1.conv1.weight_mask 	|	active =  377487 	|	total =  589824 	|	layerwise sparsity =  0.6399993896484375
layer3.1.conv2.weight_mask 	|	active =  377487 	|	total =  589824 	|	layerwise sparsity =  0.6399993896484375
layer4.0.conv1.weight_mask 	|	active =  754974 	|	total =  1179648 	|	layerwise sparsity =  0.6399993896484375
layer4.0.conv2.weight_mask 	|	active =  1509950 	|	total =  2359296 	|	layerwise sparsity =  0.640000237358941
layer4.0.shortcut.0.weight_mask 	|	active =  83886 	|	total =  131072 	|	layerwise sparsity =  0.6399993896484375
layer4.1.conv1.weight_mask 	|	active =  1509950 	|	total =  2359296 	|	layerwise sparsity =  0.640000237358941
layer4.1.conv2.weight_mask 	|	active =  1509950 	|	total =  2359296 	|	layerwise sparsity =  0.640000237358941
pruning state: 2
remaining weight at start of iteration =  64.00557852009887
pre_conv.0.weight_mask 	|	active =  1728 	|	total =  1728 	|	layerwise sparsity =  1.0
layer1.0.conv1.weight_mask 	|	active =  18874 	|	total =  36864 	|	layerwise sparsity =  0.5119900173611112
layer1.0.conv2.weight_mask 	|	active =  18874 	|	total =  36864 	|	layerwise sparsity =  0.5119900173611112
layer1.1.conv1.weight_mask 	|	active =  18874 	|	total =  36864 	|	layerwise sparsity =  0.5119900173611112
layer1.1.conv2.weight_mask 	|	active =  18874 	|	total =  36864 	|	layerwise sparsity =  0.5119900173611112
layer2.0.conv1.weight_mask 	|	active =  37749 	|	total =  73728 	|	layerwise sparsity =  0.5120035807291666
layer2.0.conv2.weight_mask 	|	active =  75498 	|	total =  147456 	|	layerwise sparsity =  0.5120035807291666
layer2.0.shortcut.0.weight_mask 	|	active =  4194 	|	total =  8192 	|	layerwise sparsity =  0.511962890625
