pruning state: 0
remaining weight at start of iteration =  100.0
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  25646 	|	total =  36864 	|	layerwise sparsity =  0.6956922743055556
layer1.0.conv2.weight_mask 	|	active =  25179 	|	total =  36864 	|	layerwise sparsity =  0.6830240885416666
layer1.1.conv1.weight_mask 	|	active =  25646 	|	total =  36864 	|	layerwise sparsity =  0.6956922743055556
layer1.1.conv2.weight_mask 	|	active =  25992 	|	total =  36864 	|	layerwise sparsity =  0.705078125
layer2.0.conv1.weight_mask 	|	active =  52776 	|	total =  73728 	|	layerwise sparsity =  0.7158203125
layer2.0.conv2.weight_mask 	|	active =  108342 	|	total =  147456 	|	layerwise sparsity =  0.7347412109375
layer2.0.shortcut.0.weight_mask 	|	active =  5221 	|	total =  8192 	|	layerwise sparsity =  0.6373291015625
layer2.1.conv1.weight_mask 	|	active =  109017 	|	total =  147456 	|	layerwise sparsity =  0.73931884765625
layer2.1.conv2.weight_mask 	|	active =  109759 	|	total =  147456 	|	layerwise sparsity =  0.7443508572048612
layer3.0.conv1.weight_mask 	|	active =  222297 	|	total =  294912 	|	layerwise sparsity =  0.7537740071614584
layer3.0.conv2.weight_mask 	|	active =  455482 	|	total =  589824 	|	layerwise sparsity =  0.7722337510850694
layer3.0.shortcut.0.weight_mask 	|	active =  23807 	|	total =  32768 	|	layerwise sparsity =  0.726531982421875
layer3.1.conv1.weight_mask 	|	active =  456138 	|	total =  589824 	|	layerwise sparsity =  0.773345947265625
layer3.1.conv2.weight_mask 	|	active =  457962 	|	total =  589824 	|	layerwise sparsity =  0.7764383951822916
layer4.0.conv1.weight_mask 	|	active =  933044 	|	total =  1179648 	|	layerwise sparsity =  0.7909511990017362
layer4.0.conv2.weight_mask 	|	active =  1902348 	|	total =  2359296 	|	layerwise sparsity =  0.8063201904296875
layer4.0.shortcut.0.weight_mask 	|	active =  99045 	|	total =  131072 	|	layerwise sparsity =  0.7556533813476562
layer4.1.conv1.weight_mask 	|	active =  1912327 	|	total =  2359296 	|	layerwise sparsity =  0.8105498419867622
layer4.1.conv2.weight_mask 	|	active =  1917517 	|	total =  2359296 	|	layerwise sparsity =  0.8127496507432725
pruning state: 1
remaining weight at start of iteration =  79.46375700406622
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  17842 	|	total =  36864 	|	layerwise sparsity =  0.4839952256944444
layer1.0.conv2.weight_mask 	|	active =  17198 	|	total =  36864 	|	layerwise sparsity =  0.4665256076388889
layer1.1.conv1.weight_mask 	|	active =  17842 	|	total =  36864 	|	layerwise sparsity =  0.4839952256944444
layer1.1.conv2.weight_mask 	|	active =  18327 	|	total =  36864 	|	layerwise sparsity =  0.4971516927083333
layer2.0.conv1.weight_mask 	|	active =  37778 	|	total =  73728 	|	layerwise sparsity =  0.5123969184027778
layer2.0.conv2.weight_mask 	|	active =  79603 	|	total =  147456 	|	layerwise sparsity =  0.5398423936631944
layer2.0.shortcut.0.weight_mask 	|	active =  3327 	|	total =  8192 	|	layerwise sparsity =  0.4061279296875
layer2.1.conv1.weight_mask 	|	active =  80598 	|	total =  147456 	|	layerwise sparsity =  0.5465901692708334
layer2.1.conv2.weight_mask 	|	active =  81699 	|	total =  147456 	|	layerwise sparsity =  0.5540568033854166
layer3.0.conv1.weight_mask 	|	active =  167562 	|	total =  294912 	|	layerwise sparsity =  0.56817626953125
layer3.0.conv2.weight_mask 	|	active =  351738 	|	total =  589824 	|	layerwise sparsity =  0.596343994140625
layer3.0.shortcut.0.weight_mask 	|	active =  17296 	|	total =  32768 	|	layerwise sparsity =  0.52783203125
layer3.1.conv1.weight_mask 	|	active =  352752 	|	total =  589824 	|	layerwise sparsity =  0.5980631510416666
layer3.1.conv2.weight_mask 	|	active =  355580 	|	total =  589824 	|	layerwise sparsity =  0.6028578016493056
layer4.0.conv1.weight_mask 	|	active =  737992 	|	total =  1179648 	|	layerwise sparsity =  0.6256035698784722
layer4.0.conv2.weight_mask 	|	active =  1533901 	|	total =  2359296 	|	layerwise sparsity =  0.6501519944932725
layer4.0.shortcut.0.weight_mask 	|	active =  74844 	|	total =  131072 	|	layerwise sparsity =  0.571014404296875
layer4.1.conv1.weight_mask 	|	active =  1550036 	|	total =  2359296 	|	layerwise sparsity =  0.6569908989800347
layer4.1.conv2.weight_mask 	|	active =  1558461 	|	total =  2359296 	|	layerwise sparsity =  0.6605618794759115
pruning state: 2
remaining weight at start of iteration =  63.215604801477376
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  12413 	|	total =  36864 	|	layerwise sparsity =  0.3367241753472222
layer1.0.conv2.weight_mask 	|	active =  11747 	|	total =  36864 	|	layerwise sparsity =  0.3186577690972222
layer1.1.conv1.weight_mask 	|	active =  12413 	|	total =  36864 	|	layerwise sparsity =  0.3367241753472222
layer1.1.conv2.weight_mask 	|	active =  12922 	|	total =  36864 	|	layerwise sparsity =  0.3505316840277778
layer2.0.conv1.weight_mask 	|	active =  27042 	|	total =  73728 	|	layerwise sparsity =  0.3667805989583333
layer2.0.conv2.weight_mask 	|	active =  58488 	|	total =  147456 	|	layerwise sparsity =  0.3966471354166667
layer2.0.shortcut.0.weight_mask 	|	active =  2120 	|	total =  8192 	|	layerwise sparsity =  0.2587890625
layer2.1.conv1.weight_mask 	|	active =  59588 	|	total =  147456 	|	layerwise sparsity =  0.4041069878472222
layer2.1.conv2.weight_mask 	|	active =  60813 	|	total =  147456 	|	layerwise sparsity =  0.41241455078125
layer3.0.conv1.weight_mask 	|	active =  126304 	|	total =  294912 	|	layerwise sparsity =  0.4282769097222222
layer3.0.conv2.weight_mask 	|	active =  271624 	|	total =  589824 	|	layerwise sparsity =  0.4605170355902778
layer3.0.shortcut.0.weight_mask 	|	active =  12566 	|	total =  32768 	|	layerwise sparsity =  0.38348388671875
layer3.1.conv1.weight_mask 	|	active =  272799 	|	total =  589824 	|	layerwise sparsity =  0.4625091552734375
layer3.1.conv2.weight_mask 	|	active =  276086 	|	total =  589824 	|	layerwise sparsity =  0.4680820041232639
layer4.0.conv1.weight_mask 	|	active =  583716 	|	total =  1179648 	|	layerwise sparsity =  0.4948221842447917
layer4.0.conv2.weight_mask 	|	active =  1236815 	|	total =  2359296 	|	layerwise sparsity =  0.5242305331759982
layer4.0.shortcut.0.weight_mask 	|	active =  56556 	|	total =  131072 	|	layerwise sparsity =  0.431488037109375
layer4.1.conv1.weight_mask 	|	active =  1256381 	|	total =  2359296 	|	layerwise sparsity =  0.532523685031467
layer4.1.conv2.weight_mask 	|	active =  1266639 	|	total =  2359296 	|	layerwise sparsity =  0.536871592203776
pruning state: 3
remaining weight at start of iteration =  50.335291891054865
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  8636 	|	total =  36864 	|	layerwise sparsity =  0.23426649305555555
layer1.0.conv2.weight_mask 	|	active =  8023 	|	total =  36864 	|	layerwise sparsity =  0.21763780381944445
layer1.1.conv1.weight_mask 	|	active =  8636 	|	total =  36864 	|	layerwise sparsity =  0.23426649305555555
layer1.1.conv2.weight_mask 	|	active =  9111 	|	total =  36864 	|	layerwise sparsity =  0.24715169270833334
layer2.0.conv1.weight_mask 	|	active =  19357 	|	total =  73728 	|	layerwise sparsity =  0.2625461154513889
layer2.0.conv2.weight_mask 	|	active =  42974 	|	total =  147456 	|	layerwise sparsity =  0.2914360894097222
layer2.0.shortcut.0.weight_mask 	|	active =  1351 	|	total =  8192 	|	layerwise sparsity =  0.1649169921875
layer2.1.conv1.weight_mask 	|	active =  44055 	|	total =  147456 	|	layerwise sparsity =  0.29876708984375
layer2.1.conv2.weight_mask 	|	active =  45266 	|	total =  147456 	|	layerwise sparsity =  0.3069797092013889
layer3.0.conv1.weight_mask 	|	active =  95205 	|	total =  294912 	|	layerwise sparsity =  0.3228251139322917
layer3.0.conv2.weight_mask 	|	active =  209757 	|	total =  589824 	|	layerwise sparsity =  0.3556264241536458
layer3.0.shortcut.0.weight_mask 	|	active =  9129 	|	total =  32768 	|	layerwise sparsity =  0.278594970703125
layer3.1.conv1.weight_mask 	|	active =  210968 	|	total =  589824 	|	layerwise sparsity =  0.3576795789930556
layer3.1.conv2.weight_mask 	|	active =  214364 	|	total =  589824 	|	layerwise sparsity =  0.3634372287326389
layer4.0.conv1.weight_mask 	|	active =  461691 	|	total =  1179648 	|	layerwise sparsity =  0.39138031005859375
layer4.0.conv2.weight_mask 	|	active =  997269 	|	total =  2359296 	|	layerwise sparsity =  0.4226977030436198
layer4.0.shortcut.0.weight_mask 	|	active =  42737 	|	total =  131072 	|	layerwise sparsity =  0.32605743408203125
layer4.1.conv1.weight_mask 	|	active =  1018359 	|	total =  2359296 	|	layerwise sparsity =  0.4316368103027344
layer4.1.conv2.weight_mask 	|	active =  1029460 	|	total =  2359296 	|	layerwise sparsity =  0.4363420274522569
pruning state: 4
remaining weight at start of iteration =  40.11340565372241
pre_conv.0.weight_mask 	|	active =  0 	|	total =  1728 	|	layerwise sparsity =  0.0
layer1.0.conv1.weight_mask 	|	active =  6008 	|	total =  36864 	|	layerwise sparsity =  0.16297743055555555
layer1.0.conv2.weight_mask 	|	active =  5480 	|	total =  36864 	|	layerwise sparsity =  0.1486545138888889
layer1.1.conv1.weight_mask 	|	active =  6008 	|	total =  36864 	|	layerwise sparsity =  0.16297743055555555
layer1.1.conv2.weight_mask 	|	active =  6424 	|	total =  36864 	|	layerwise sparsity =  0.1742621527777778
layer2.0.conv1.weight_mask 	|	active =  13856 	|	total =  73728 	|	layerwise sparsity =  0.1879340277777778
layer2.0.conv2.weight_mask 	|	active =  31575 	|	total =  147456 	|	layerwise sparsity =  0.21413167317708334
