pruning state: 0
remaining weight at start of iteration =  99.99998207761968
pre_conv.0.weight_mask 	|	active =  1714 	|	total =  1728 	|	layerwise sparsity =  0.9918981481481481
layer1.0.conv1.weight_mask 	|	active =  34515 	|	total =  36864 	|	layerwise sparsity =  0.936279296875
layer1.0.conv2.weight_mask 	|	active =  34513 	|	total =  36864 	|	layerwise sparsity =  0.9362250434027778
layer1.1.conv1.weight_mask 	|	active =  34291 	|	total =  36864 	|	layerwise sparsity =  0.9302029079861112
layer1.1.conv2.weight_mask 	|	active =  34469 	|	total =  36864 	|	layerwise sparsity =  0.9350314670138888
layer2.0.conv1.weight_mask 	|	active =  68009 	|	total =  73728 	|	layerwise sparsity =  0.9224310980902778
layer2.0.conv2.weight_mask 	|	active =  132108 	|	total =  147456 	|	layerwise sparsity =  0.8959147135416666
layer2.0.shortcut.0.weight_mask 	|	active =  7989 	|	total =  8192 	|	layerwise sparsity =  0.9752197265625
layer2.1.conv1.weight_mask 	|	active =  131388 	|	total =  147456 	|	layerwise sparsity =  0.8910319010416666
layer2.1.conv2.weight_mask 	|	active =  131282 	|	total =  147456 	|	layerwise sparsity =  0.8903130425347222
layer3.0.conv1.weight_mask 	|	active =  260755 	|	total =  294912 	|	layerwise sparsity =  0.8841790093315972
layer3.0.conv2.weight_mask 	|	active =  496482 	|	total =  589824 	|	layerwise sparsity =  0.8417460123697916
layer3.0.shortcut.0.weight_mask 	|	active =  31449 	|	total =  32768 	|	layerwise sparsity =  0.959747314453125
layer3.1.conv1.weight_mask 	|	active =  492575 	|	total =  589824 	|	layerwise sparsity =  0.8351220024956597
layer3.1.conv2.weight_mask 	|	active =  491553 	|	total =  589824 	|	layerwise sparsity =  0.8333892822265625
layer4.0.conv1.weight_mask 	|	active =  979663 	|	total =  1179648 	|	layerwise sparsity =  0.8304706149631076
layer4.0.conv2.weight_mask 	|	active =  1810065 	|	total =  2359296 	|	layerwise sparsity =  0.767205556233724
layer4.0.shortcut.0.weight_mask 	|	active =  123583 	|	total =  131072 	|	layerwise sparsity =  0.9428634643554688
layer4.1.conv1.weight_mask 	|	active =  1812481 	|	total =  2359296 	|	layerwise sparsity =  0.7682295905219184
layer4.1.conv2.weight_mask 	|	active =  1818502 	|	total =  2359296 	|	layerwise sparsity =  0.7707816229926215
pruning state: 1
remaining weight at start of iteration =  80.00000358447606
pre_conv.0.weight_mask 	|	active =  1695 	|	total =  1728 	|	layerwise sparsity =  0.9809027777777778
layer1.0.conv1.weight_mask 	|	active =  31688 	|	total =  36864 	|	layerwise sparsity =  0.8595920138888888
layer1.0.conv2.weight_mask 	|	active =  31604 	|	total =  36864 	|	layerwise sparsity =  0.8573133680555556
layer1.1.conv1.weight_mask 	|	active =  31208 	|	total =  36864 	|	layerwise sparsity =  0.8465711805555556
layer1.1.conv2.weight_mask 	|	active =  31475 	|	total =  36864 	|	layerwise sparsity =  0.8538140190972222
layer2.0.conv1.weight_mask 	|	active =  61479 	|	total =  73728 	|	layerwise sparsity =  0.8338623046875
layer2.0.conv2.weight_mask 	|	active =  115331 	|	total =  147456 	|	layerwise sparsity =  0.7821384006076388
layer2.0.shortcut.0.weight_mask 	|	active =  7695 	|	total =  8192 	|	layerwise sparsity =  0.9393310546875
layer2.1.conv1.weight_mask 	|	active =  114118 	|	total =  147456 	|	layerwise sparsity =  0.7739122178819444
layer2.1.conv2.weight_mask 	|	active =  114044 	|	total =  147456 	|	layerwise sparsity =  0.7734103732638888
layer3.0.conv1.weight_mask 	|	active =  226503 	|	total =  294912 	|	layerwise sparsity =  0.768035888671875
layer3.0.conv2.weight_mask 	|	active =  408081 	|	total =  589824 	|	layerwise sparsity =  0.6918690999348959
layer3.0.shortcut.0.weight_mask 	|	active =  29724 	|	total =  32768 	|	layerwise sparsity =  0.9071044921875
layer3.1.conv1.weight_mask 	|	active =  407421 	|	total =  589824 	|	layerwise sparsity =  0.6907501220703125
layer3.1.conv2.weight_mask 	|	active =  409035 	|	total =  589824 	|	layerwise sparsity =  0.6934865315755209
layer4.0.conv1.weight_mask 	|	active =  815001 	|	total =  1179648 	|	layerwise sparsity =  0.6908849080403646
layer4.0.conv2.weight_mask 	|	active =  1411259 	|	total =  2359296 	|	layerwise sparsity =  0.5981695387098525
